id;image_path;price;VIN;brand;model;year;color;engine_type;engine_volume;engine_power;transmission;configuration;description
0001;bmw_3_series.png;2 000 000 ₽;1HGCM82633A123456;BMW;3 Series;2018;Чёрный;Бензиновый;2.0 л;184 л.с.;Автомат;Sport Line;BMW 3 Series — спортивный седан с мощным двигателем и динамичным управлением. В нём сочетаются спортивный стиль и высокий уровень комфорта, что делает его идеальным выбором для тех, кто ценит активный образ жизни.
0002;audi_a4.png;1 800 000 ₽;1HGCM82633A123456;Audi;A4;2022;Красный;Бензиновый;2.0 л;190 л.с.;Механика;Premium Edition;Audi A4 — современный седан с высокими показателями безопасности, комфорта и динамики. В нём сочетаются спортивный стиль и премиальные материалы отделки салона, что делает его идеальным выбором для тех, кто ценит качество и роскошь.
0003;mercedes_benz.png;2 200 000 ₽;1HGCM82633A123456;Mercedes-Benz;E-class;2020;Белый;Бензиновый;2.0 л;184 л.с.;Автомат;AMG Line;Mercedes-Benz E-Class — представительский седан с высоким уровнем комфорта, оснащённый современными системами безопасности, адаптивной подвеской и премиальными материалами отделки салона. Отличное сочетание мощности, динамики и элегантности.
0004;nissan_quashqai.png;1 500 000 ₽;1HGCM82633A123456;Nissan;Quashqai;2021;Серый;Бензиновый;2.0 л;184 л.с.;Механика;Sport Edition;Nissan Quashqai — кроссовер с высокими показателями безопасности, комфорта и динамики. В нём сочетаются спортивный стиль и премиальные материалы отделки салона, что делает его идеальным выбором для тех, кто ценит качество и роскошь.
0005;toyota_camry_1.png;2 450 000 ₽;JTDKN3DU8A1234567;Toyota;Camry;2022;Белый;Бензин;2.5 л;181 л.с.;Автомат;Comfort;Просторный седан с современными технологиями и комфортным салоном
0006;toyota_camry_2.png;2 850 000 ₽;JTDKN3DU8B1234568;Toyota;Camry;2023;Черный;Бензин;2.5 л;181 л.с.;Автомат;Prestige;Премиальная комплектация с кожаным салоном и панорамной крышей
0007;toyota_rav4_1.png;3 200 000 ₽;JTMWJ4FV9J1234569;Toyota;RAV4;2023;Серый;Гибрид;2.5л ;218 л.с.;Автомат;Luxury;Вместительный кроссовер с гибридной установкой
0008;bmw_x5_1.png;6 500 000 ₽;WBAJF0C50JG1234570;BMW;X5;2022;Синий;Бензин;3.0 л;340 л.с.;Автомат;M Sport;Мощный SUV со спортивным характером
0009;bmw_x5_2.png;7 200 000 ₽;WBAJF0C51JG1234571;BMW;X5;2023;Белый;Бензин;3.0 л;340 л.с.;Автомат;Exclusive;Эксклюзивная отделка салона с премиум-аудиосистемой
0010;bmw_3_1.png;4 200 000 ₽;WBA8E9C58JK1234572;BMW;3 Series;2023;Красный;Бензин;2.0 л;249 л.с.;Автомат;Sport Line;Динамичный седан с спортивным обвесом
0011;mercedes_e_1.png;5 800 000 ₽;WDD2130426A1234573;Mercedes-Benz;E-Class;2022;Черный;Дизель;2.0 л;245 л.с.;Автомат;AMG Line;Бизнес-класс с агрессивным дизайном
0012;mercedes_e_2.png;6 200 000 ₽;WDD2130426B1234574;Mercedes-Benz;E-Class;2023;Серебристый;Бензин;3.0 л;367 л.с.;Автомат;Exclusive;Роскошный интерьер с деревянными вставками
0013;mercedes_gle_1.png;7 800 000 ₽;WDC1660231A1234575;Mercedes-Benz;GLE;2023;Серый;Бензин;3.0 л;367 л.с.;Автомат;AMG Package;Вместительный кроссовер с спортивным пакетом
0014;hyundai_solaris_1.png;1 650 000 ₽;Z94CB41BAER1234576;Hyundai;Solaris;2022;Белый;Бензин;1.6 л;123 л.с.;Механика;Active;Доступный и надежный седан
0015;hyundai_solaris_2.png;1 850 000 ₽;Z94CB41BAER1234577;Hyundai;Solaris;2023;Оранжевый;Бензин;1.6 л;123 л.с.;Автомат;Elegance;Стильная комплектация с мультимедиа
0016;hyundai_creta_1.png;2 200 000 ₽;Z94CB41BAFR1234578;Hyundai;Creta;2023;Зеленый;Бензин;2.0 л;149 л.с.;Автомат;Comfort;Популярный кроссовер с хорошей комплектацией
0017;volkswagen_tiguan_1.png;3 500 000 ₽;WVGZZZ5NZJW1234579;Volkswagen;Tiguan;2022;Синий;Бензин;2.0 л;190 л.с.;Автомат;Trendline;Современный немецкий кроссовер
0018;volkswagen_tiguan_2.png;3 900 000 ₽;WVGZZZ5NZJW1234580;Volkswagen;Tiguan;2023;Белый;Бензин;2.0 л;190 л.с.;Автомат;Highline;Премиум комплектация с полным приводом
0019;volkswagen_polo_1.png;1 450 000 ₽;WVWZZZ6RZBY1234581;Volkswagen;Polo;2022;Серебристый;Бензин;1.6 л;110 л.с.;Механика;Conceptline;Бюджетный вариант с базовым оснащением
0020;volkswagen_polo_2.png;1 650 000 ₽;WVWZZZ6RZBY1234582;Volkswagen;Polo;2023;Красный;Бензин;1.6 л;110 л.с.;Автомат;Comfortline;Комфортная комплектация с климат-контролем
0021;audi_a6_1.png;5 200 000 ₽;WAUZZZ4G8FN1234583;Audi;A6;2022;Черный;Бензин;2.0 л;245 л.с.;Автомат;Premium;Стильный седан премиум-класса
0022;audi_a6_2.png;5 800 000 ₽;WAUZZZ4G8FN1234584;Audi;A6;2023;Серый;Бензин;3.0 л;340 л.с.;Автомат;S line;Спортивная версия с улучшенной динамикой
0023;audi_q7_1.png;8 200 000 ₽;WAUZZZ4M7HD1234585;Audi;Q7;2023;Белый;Дизель;3.0 л;249 л.с.;Автомат;Quattro;Флагманский SUV с постоянным полным приводом
0024;kia_rio_1.png;1 550 000 ₽;Z94CB41BAKR1234586;Kia;Rio;2022;Белый;Бензин;1.6 л;123 л.с.;Механика;Classic;Практичный седан с хорошей сборкой
0025;kia_rio_2.png;1 750 000 ₽;Z94CB41BAKR1234587;Kia;Rio;2023;Серый;Бензин;1.6 л;123 л.с.;Автомат;LX;Улучшенная версия с улучшенной комплектацией
